Theater,Year,Month,Day,Hour,Purchase Hour,Name,3D,Seat,Price,Matinee,Auditorium
Cobb Village 12,2011,12,31,7:10PM,7:04PM,Girl with the Dragon Tattoo,-,-,11,-,5
Cobb Village 12,2012,2,4,7:30PM,7:20PM,Chronicle,-,-,11,-,11
Regal Cinemas Countryside 20,2012,3,17,7:30PM,7:31PM,21 Jump Street,-,-,11.5,-,13
Cobb Village 12,2012,3,10,4:15PM,3:57PM,John Carter,y,-,14.5,-,8
Cobb Village 12,2012,2,18,8:00PM,7:27PM,Ghost Rider: Spiri 3D,y,-,14.5,-,11
Cobb Village 12,2012,3,24,7:40PM,7:42PM,The Hunger Games,-,-,11,-,12
Cobb Village 12,2012,5,5,7:40PM,7:02PM,The Avengers,-,-,11,-,12
Regal Cinemas Countryside 20,2012,6,9,6:55PM,6:31PM,Prometheus,-,-,11.5,-,13
Regal Cinemas Dulles 10,2012,8,1,3:30PM,3:24PM,The Dark Knight Rises,-,-,15,-,6
Cobb Village 12,2012,9,3,2:20PM,2:01PM,Expendables 2,-,-,9,y,7
Cobb Village 12,2012,10,7,2:20PM,2:00PM,Looper,-,-,9.5,y,4
Cobb Village 12,2012,11,6,2:10PM,2:03PM,Wreck-It-Ralph,-,-,9.5,y,12
Cobb Village 12,2012,11,25,5:00PM,4:40PM,Skyfall,-,-,11.5,-,12
Cobb Village 12,2012,12,28,5:10PM,4:32PM,Django Unchained,-,-,11.5,-,6
Cobb Village 12,2013,1,18,10:35PM,10:03PM,Mama,-,-,11.5,-,9
Cobb Village 12,2013,5,5,6:15PM,5:15PM,Iron Man 3,-,-,11.5,-,7
Cobb Village 12,2013,5,19,5:45PM,5:25PM,Star Trek: Into Darkness,-,-,11.5,-,7
Cobb Village 12,2013,7,29,4:40PM,4:10PM,Despicable Me 2,-,-,11.75,-,7
Cobb Village 12,2013,7,23,4:00PM,3:43PM,Pacific Rim,-,-,9.5,y,8
Carmike Cinemas,2013,8,15,4:30PM,-,Elysium,-,-,7.5,y,12
Carmike Cinemas,2013,11,9,3:30PM,3:20PM,Thor: DW,-,-,0,-,11
Cobb Village 12,2014,4,22,4:45PM,4:44PM,Captain America: Winter Soldier,-,i9,-,-,11
Cobb Village 12,2014,8,17,7:50PM,7:13PM,Gardians of the Galzxy,-,h10,-,-,12
Regal Cinemas Countryside 20,2014,6,7,9:35PM,8:54PM,Godzilla,-,-,12,-,2
Cobb Village 12,2014,11,17,8:00PM,8:09PM,Interstellar,-,h7,11.75,-,7
Carmike Cinemas,2015,5,4,3:00PM,2:14PM,Avengers: Age of Ultron,-,-,7.25,y,2
Cobb Village 12,2015,5,10,1:30PM,1:10PM,Hot Pursuit,-,g9,-,y,9
Carmike Cinemas,2015,5,16,7:15PM,5:54PM,Mad Max: Fury Road,-,-,10,-,3
Cobb Village 12,2015,12,30,2:30PM,2:31PM,Star Wars: The Force Awakens,-,g3,-,y,12
Carmike Cinemas,2016,3,17,4:10PM,3:44PM,10 Cloverfield Lane,-,-,5.75,y,11
Carmike Cinemas,2016,8,27,4:15PM,3:53PM,Kubo,-,-,5.75,y,9
Cobb Village 12,2016,12,29,9:55PM,9:32PM,Arrival,-,g11,-,-,6
Cobb Village 12,2017,3,11,4:50PM,4:58PM,Logan,-,i8,-,-,7
Cobb Village 12,2017,7,6,2:20PM,7/6/2017 2:18PM,Baby Driver,-,h11,10,y,4
Cobb Village 12,2017,8,13,2:30PM,2:20PM,Dunkirk,-,h11,10,y,7
Regal Cinemas Countryside 20,2017,10,10,12:30PM,11:59AM,It,-,-,5.39,y,3
Regal Cinemas Countryside 20,2017,10,17,12:45PM,12:28PM,Blade Runner,-,-,5.39,y,4
Regal Cinemas Dulles 10,2017,11,21,2:45PM,1:26PM,Thor,-,c8,6.39,y,2
